启运港,目的港,20GP,20GP涨跌,40GP,40GP涨跌
青岛,"DAKAR(达喀尔,塞内加尔)",4150,-,4200,-
青岛,"ONNE(奥纳,尼日利亚)",3600,-,4100,-
青岛,"LAGOS--TINCAN(拉各斯--庭坎,尼日利亚)",3550,-,3950,-
青岛,"LAGOS--APAPA(拉各斯--阿帕帕,尼日利亚)",3550,-,3950,-
青岛,"COTONOU(科托努,贝宁)",2750,-,3000,-
青岛,"ABIDJAN(阿比让,科特迪瓦)",2750,-,3000,-
青岛,"TEMA(特马,加纳)",2700,-,2950,-
青岛,"LOME(洛美,多哥)",2700,-,2950,-
青岛,"VALPARAISO(瓦尔帕莱索,智利)",1500,+,1800,+
青岛,"LIRQUEN(利尔奎,智利)",1500,+,1800,+
青岛,"IQUIQUE(伊基克,智利)",1500,+,1800,+
青岛,"GUAYAQUIL(瓜亚基尔,厄瓜多尔)",1500,+,1800,+
青岛,"CALLAO(卡亚俄,秘鲁)",1500,+,1800,+
青岛,"BUENAVENTURA(布埃纳文图拉,哥伦比亚)",1500,+,1800,+
青岛,"ARICA(阿里卡,智利)",2250,+,2650,+
青岛,"BARRANQUILLA(巴兰基亚,哥伦比亚)",2750,-,2950,-
青岛,"CARTAGENA,CO(卡塔赫纳,哥伦比亚)",2550,-,2750,-
青岛,"SAN ANTONIO(圣安东尼奥,智利)",1500,+,1800,+
青岛,"COLON FREE ZONE(科隆自贸区,巴拿马)",1600,-,1900,-
青岛,"MANZANILLO,PA(巴拿马曼萨尼约,巴拿马)",1750,-,2050,-
青岛,"BALBOA(巴尔博亚,巴拿马)",1750,-,2050,-
青岛,"PUERTO CABELLO(卡贝略,委内瑞拉)",4150,-,4350,-
青岛,"LA GUAIRA(拉瓜伊拉,委内瑞拉)",4150,-,4350,-
青岛,"PUERTO CORTES(科尔特斯,洪都拉斯)",3150,-,3350,-
青岛,"PORT OF SPAIN(西班牙港,特立尼达和多巴哥)",2600,-,2800,-
青岛,"KINGSTON,JM(金士顿,牙买加)",2600,-,2800,-
青岛,"RIO HAINA(里奥海纳,多米尼加)",2600,-,2800,-
青岛,"CORINTO(科林托,尼加拉瓜)",2500,-,2800,-
青岛,"ACAJUTLA(阿卡胡特拉,萨尔瓦多)",2450,-,2750,-
青岛,"PUERTO CALDERA(卡尔德拉,哥斯达黎加)",2500,-,2700,-
青岛,"PUERTO QUETZAL(库特扎尔,危地马拉)",2600,-,2800,-
青岛,"NAPLES,IT(那不勒斯,意大利)",2550,+,3350,+
青岛,"LA SPEZIA(拉斯佩齐亚,意大利)",2500,+,3300,+
青岛,"GENOA,IT(热那亚,意大利)",2500,+,3300,+
青岛,"ALGECIRAS(阿尔赫西拉斯,西班牙)",2500,+,3300,+
青岛,"VALENCIA,ES(瓦伦西亚,西班牙)",2500,+,3300,+
青岛,"FOS SUR MER(福斯,法国)",2500,+,3300,+
青岛,"BARCELONA(巴塞罗纳,西班牙)",2500,+,3300,+
青岛,"SOUTHAMPTON,UK(南安普顿,英国)",1450,-,2500,-
青岛,"ROTTERDAM,NL(鹿特丹,荷兰)",1450,-,2500,-
青岛,"LE HAVRE(勒阿弗尔,法国)",1450,-,2500,-
青岛,"HAMBURG,DE(汉堡,德国)",1450,-,2500,-
青岛,"BREMERHAVEN(不来梅哈芬,德国)",1450,-,2500,-
青岛,"ANTWERP(安特卫普,比利时)",1450,-,2500,-
青岛,"CAUCEDO(考赛多,多米尼加)",2600,-,2800,-
青岛,"BATAM(巴淡,印度尼西亚)",1100,+,1750,+
青岛,"BELAWAN(乌拉湾,印度尼西亚)",1450,+,1550,+
青岛,"SEMARANG(三宝垄,印度尼西亚)",1350,+,1450,+
青岛,"SURABAYA(泗水,印度尼西亚)",1350,+,1450,+
青岛,"SUBIC BAY(苏比克湾,菲律宾)",625,+,1100,+
青岛,"CAGAYAN(卡加延,菲律宾)",625,+,1100,+
青岛,"DAVAO(达沃,菲律宾)",625,+,1100,+
青岛,"CEBU(宿务,菲律宾)",625,+,1100,+
青岛,"MANILA S(马尼拉南,菲律宾)",-30,-,-60,-
青岛,"MANILA N(马尼拉北,菲律宾)",-30,-,-60,-
青岛,"JAKARTA(雅加达,印度尼西亚)",1350,+,1450,+
青岛,"CHATTOGRAM,CHITTAGONG (吉大港,孟加拉)",1400,+,1650,+
青岛,"BERBERA(柏培拉,索马里)",3500,-,4300,-
青岛,"TAMATAVE(塔马塔夫,马达加斯加)",3400,-,4350,-
青岛,"PORT LOUIS(路易斯港,毛里求斯)",2650,-,3450,-
青岛,"MAPUTO(马普托,莫桑比克)",3150,-,4350,-
青岛,"BEIRA(贝拉,莫桑比克)",3150,-,4350,-
青岛,"DAR ES SALAAM(达累斯萨拉姆,坦桑尼亚)",3000,-,4250,-
青岛,"YANGON(仰光,缅甸)",1025,-,1650,-
青岛,"KUCHING(古晋,马来西亚)",1350,-,1700,-
青岛,"BINTULU(民都鲁,马来西亚)",1350,-,1700,-
青岛,"TANJUNG PELEPAS(丹戎帕拉帕斯,马来西亚)",1150,-,1400,-
青岛,"MUARA(麻拉,文莱)",1350,-,1650,-
青岛,"KOTA KINABALU(哥打基纳巴卢,马来西亚)",1350,-,1650,-
青岛,"PENANG(槟城,马来西亚)",1150,-,1200,-
青岛,"PASIR GUDANG(巴西古单,马来西亚)",1150,-,1200,-
青岛,"PORT KELANG W(巴生西,马来西亚)",1100,-,1150,-
青岛,"PORT KELANG N(巴生北,马来西亚)",1100,-,1150,-
青岛,"SINGAPORE(新加坡,新加坡)",1000,+,1100,+
青岛,"LAT KRABANG(莱卡邦,泰国)",1150,+,1250,+
青岛,"LAEM CHABANG(林查班,泰国)",1100,+,1200,+
青岛,"BANGKOK--PAT(曼谷PAT港,泰国)",1250,+,1400,+
青岛,"BANGKOK(曼谷,泰国)",1250,+,1400,+
青岛,"PHNOM PENH(金边,柬埔寨)",1450,+,1650,+
青岛,"DANANG(岘港,越南)",1250,+,1300,+
青岛,"HOCHIMINH--CAT LAI(胡志明卡莱港,越南)",1200,+,1250,+
青岛,"HOCHIMINH(胡志明,越南)",1200,+,1250,+
青岛,"HAIPHONG(海防,越南)",450,+,500,+
青岛,"ENSENADA(恩塞纳达,墨西哥)",1550,+,1850,+
青岛,"LAZARO CARDENAS(拉萨罗卡德纳斯,墨西哥)",1550,+,1850,+
青岛,"SIHANOUKVILLE(西哈努克,柬埔寨)",1200,+,1250,+
青岛,"FELIXSTOWE(费利克斯托,英国)",1450,-,2500,-
青岛,"JEBEL ALI,DUBAI(杰贝阿里,迪拜,阿联酋)",1700,+,2000,+
青岛,"HODEIDAH(荷台达,也门)",5250,+,7500,+
青岛,"ADEN(亚丁,也门)",3000,+,4100,+
青岛,"DJIBOUTI(吉布提,吉布提)",2550,-,3400,-
青岛,"AQABAH(亚喀巴,约旦)",2550,-,3250,-
青岛,"SOKHNA(苏科纳,埃及)",2450,-,3150,-
青岛,"GEMLIK(盖姆利克,土耳其)",2550,+,3600,+
青岛,"GEBZE(格贝兹,土耳其)",2550,+,3600,+
青岛,"IZMIT--EVYAP(艾维亚普,土耳其)",2500,+,3550,+
青岛,"IZMIT(伊兹米特,土耳其)",2500,+,3550,+
青岛,"POTI(波提,波季,格鲁吉亚)",2450,+,3450,+
青岛,"VARNA(瓦尔纳,保加利亚)",2550,+,3550,+
青岛,"CONSTANTA(康斯坦察,罗马尼亚)",2450,+,3350,+
青岛,"PORTLAND,OR (波特兰,俄勒冈州,美国)",2100,-,2450,-
青岛,"TACOMA,WA(塔科马,华盛顿州,美国)",1300,-,1600,-
青岛,"SEATTLE,WA(西雅图,华盛顿州,美国)",1300,-,1600,-
青岛,"OAKLAND,CA(奥克兰,加利福尼亚州,美国)",1300,-,1600,-
青岛,"LONG BEACH,CA(长滩,加利福尼亚州,美国)",1300,-,1600,-
青岛,"LOS ANGELES,CA(洛杉矶,加利福尼亚州,美国)",1300,-,1600,-
青岛,"NEW ORLEANS,LA(新奥尔良,路易斯安那州,美国)",2150,-,2550,-
青岛,"JACKSONVILLE,FL(杰克逊维尔,佛罗里达州,美国)",2150,-,2550,-
青岛,"TAMPA,FL(坦帕,佛罗里达州,美国)",2150,-,2550,-
青岛,"MIAMI,FL(迈阿密,佛罗里达州,美国)",2150,-,2550,-
青岛,"MOBILE,AL(莫比尔,亚拉巴马州,美国)",2150,-,2550,-
青岛,"HOUSTON,TX(休斯顿,德克萨斯州,美国)",2150,-,2550,-
青岛,"BOSTON,MA(波士顿,马萨诸塞州,美国)",2200,-,2650,-
青岛,"SAVANNAH,GA(萨瓦纳,佐治亚州,美国)",2100,-,2450,-
青岛,"NORFOLK,VA(诺福克,弗吉尼亚州,美国)",2100,-,2450,-
青岛,"CHARLESTON,SC(查尔斯顿,南卡罗来纳州,美国)",2100,-,2450,-
青岛,"CAPE TOWN(开普敦,南非)",2300,-,2550,-
