启运港,目的港,航线ID,共舱船公司,正向路径,反向路径,中间时间
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,ec3ded9b6d56bc7d67b8f1d3432a7021,HMM(KMP) | YML(GS2) | ONE(GS2),釜山新港(BUSAN NEW PORT)[5天] → 大连(DALIAN)[2天] → 天津(TIANJIN)[2天] → 青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT)[4天] → 上海(SHANGHAI)[1天] → 宁波(NINGBO)[3天] → 高雄(KAOHSIUNG)[1天] → 深圳蛇口(SHEKOU)[5天] → 新加坡(SINGAPORE)[10天] → 杰贝阿里(JEBEL ALI)[3天] → 达曼(DAMMAM)[3天] → 朱拜勒(JUBAIL),哈马德港(HAMAD PORT)[2天] → 阿布扎比(ABU DHABI)[1天] → 杰贝阿里(JEBEL ALI)[3天] → 苏哈(SOHAR)[17天] → 新加坡(SINGAPORE)[4天] → 林查班(LAEM CHABANG)[4天] → 盖梅港(CAI MEP)[6天] → 上海(SHANGHAI)[4天] → 釜山新港(BUSAN NEW PORT)[14天] → 长滩(LONG BEACH)[8天] → 奥克兰(OAKLAND)[19天] → 釜山新港(BUSAN NEW PORT),2天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,4fedd7bfccdc6621645019ab8b3d74b0,HMM(KME),,,
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,9b731d7b98e37e022e9dc9de528fbe16,PIL(GCS) | WHL(AM1) | RCL(RCG),青岛(QINGDAO)[3天] → 上海(SHANGHAI)[3天] → 宁波(NINGBO)[3天] → 广州南沙(NANSHA)[1天] → 深圳蛇口(SHEKOU),新加坡(SINGAPORE)[9天] → 杰贝阿里(JEBEL ALI)[4天] → 达曼(DAMMAM)[13天] → 新加坡(SINGAPORE)[7天] → 青岛(QINGDAO),6天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,3e393cc4bd64f53235983fa15b1dabf7,可达利(GALEX) | ONE(AG2) | HIKARU | HMM(GLX) | BLPL(GALEX) | GFS(GALEX) | KMTC(AIM) | RCL(RIM12) | 阿联酋(EGLX) | TSL(GLX),釜山新港(BUSAN NEW PORT)[3天] → 青岛(QINGDAO)[4天] → 厦门(XIAMEN)[2天] → 深圳大铲湾(DA CHAN BAY)[6天] → 巴生西(PORT KELANG W),杰贝阿里(JEBEL ALI)[3天] → 达曼(DAMMAM)[2天] → 巴林(BAHRAIN)[18天] → 釜山新港(BUSAN NEW PORT),11天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,6f8b58f544dcf075f73909caf9a697fd,SLS(MEGA) | VOLTA(MEGA),青岛(QINGDAO)[2天] → 天津(TIANJIN)[2天] → 大连(DALIAN)[4天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO),广州南沙(NANSHA)[18天] → 杰贝阿里(JEBEL ALI)[3天] → 哈马德港(HAMAD PORT)[2天] → 达曼(DAMMAM)[19天] → 青岛(QINGDAO),4天
青岛,明日数航船期查询澳洲澳大利亚澳大利亚布里斯班,776a1b90e31eb28fd83313272e5c8cb6,YML(CA2) | PIL(SAE) | TSL(CA2) | SLS(SAE),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[4天] → 广州南沙(NANSHA)[1天] → 深圳蛇口(SHEKOU),悉尼(SYDNEY)[4天] → 墨尔本(MELBOURNE)[4天] → 布里斯班(BRISBANE)[14天] → 青岛(QINGDAO),13天
青岛,明日数航船期查询澳洲澳大利亚澳大利亚布里斯班,d12fccbf57324c19837208e2424d942e,ONE(AUN) | MAERSK(DRAGON),青岛(QINGDAO)[3天] → 宁波(NINGBO)[3天] → 上海(SHANGHAI)[5天] → 香港(HONG KONG)[1天] → 深圳盐田(YANTIAN),悉尼(SYDNEY)[4天] → 墨尔本(MELBOURNE)[6天] → 布里斯班(BRISBANE)[14天] → 青岛(QINGDAO),13天
青岛,明日数航船期查询澳洲澳大利亚澳大利亚布里斯班,df7be936d08ad85a000b33b9c2c1aa35,CMA(APR2ANL),青岛(QINGDAO)[2天] → 釜山新港(BUSAN NEW PORT)[3天] → 上海(SHANGHAI)[1天] → 宁波(NINGBO)[3天] → 广州南沙(NANSHA)[8天] → 莱城(LAE),蒙托克(PORT MORESBY--MOTUKEA ISLAND)[5天] → 布里斯班(BRISBANE)[3天] → 格拉德斯通(GLADSTONE)[2天] → 汤斯维尔(TOWNSVILLE)[12天] → 青岛(QINGDAO),3天
青岛,明日数航船期查询澳洲澳大利亚澳大利亚布里斯班,787cdd366393fd4cc65b1cb3f699423c,ONE(AUE) | HMM(A1X) | EMC(NEAX) | HPL(NAX),釜山新港(BUSAN NEW PORT)[3天] → 青岛(QINGDAO)[3天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[5天] → 深圳盐田(YANTIAN),悉尼(SYDNEY)[4天] → 墨尔本(MELBOURNE)[5天] → 布里斯班(BRISBANE)[14天] → 釜山新港(BUSAN NEW PORT),13天
青岛,明日数航船期查询澳洲澳大利亚澳大利亚布里斯班,e261a57173012c500d65d8ccd487e8c3,ZIM(ZAX) | MSC(PANDA),釜山新港(BUSAN NEW PORT)[3天] → 青岛(QINGDAO)[3天] → 上海(SHANGHAI)[3天] → 宁波(NINGBO)[4天] → 广州南沙(NANSHA)[1天] → 香港(HONG KONG),深圳盐田(YANTIAN)[16天] → 布里斯班(BRISBANE)[4天] → 悉尼(SYDNEY)[4天] → 墨尔本(MELBOURNE)[3天] → 布里斯班(BRISBANE)[14天] → 釜山新港(BUSAN NEW PORT),1天
青岛,明日数航船期查询澳洲澳大利亚澳大利亚布里斯班,68e8135b70983716c40ca6882c8bad42,OOCL(A3N) | CMA(A3NANL) | COSCO(A3N),横滨(YOKOHAMA)[2天] → 大阪(OSAKA)[3天] → 釜山新港(BUSAN NEW PORT)[3天] → 青岛(QINGDAO)[3天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO),高雄(KAOHSIUNG)[13天] → 墨尔本(MELBOURNE)[4天] → 悉尼(SYDNEY)[3天] → 布里斯班(BRISBANE)[14天] → 横滨(YOKOHAMA),2天
青岛,明日数航船期查询澳洲澳大利亚澳大利亚布里斯班,d5dfaaf717d6f73bd6008dbb0818e1a9,TSL(CA3SG),,,
青岛,明日数航船期查询中东印巴红海印巴孟加拉吉大港,5906f55b70e9dbca23e9c0977ea23120,MSC(BENGAL),青岛(QINGDAO)[3天] → 宁波(NINGBO)[2天] → 上海(SHANGHAI)[11天] → 吉大港(CHATTOGRAM),新加坡(SINGAPORE)[1天] → 丹戎帕拉帕斯(TANJUNG PELEPAS)[12天] → 青岛(QINGDAO),6天
青岛,明日数航船期查询中东印巴红海印巴孟加拉吉大港,9869d587c8258fef46fe105cfc72de31,CNC(BBX6CNC) | SITC(CBX2),仁川(INCHON)[2天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI)[6天] → 胡志明福安港(HOCHIMINH--PHUOC AN),吉大港(CHATTOGRAM)[8天] → 巴生北(PORT KELANG N)[6天] → 厦门(XIAMEN)[4天] → 仁川(INCHON),7天
青岛,明日数航船期查询中东印巴红海印巴孟加拉吉大港,a445dcff8df5ddaecc67970e7226e81c,MAERSK(SH3),横滨(YOKOHAMA)[2天] → 神户(KOBE)[4天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 高雄(KAOHSIUNG)[6天] → 巴生北(PORT KELANG N),吉大港(CHATTOGRAM)[10天] → 丹戎帕拉帕斯(TANJUNG PELEPAS)[4天] → 胡志明卡莱港(HOCHIMINH--CAT LAI)[4天] → 深圳盐田(YANTIAN)[4天] → 横滨(YOKOHAMA),4天
青岛,明日数航船期查询拉丁美洲南美东巴西桑托斯,a4f4d495662cedf060a91a81112d4d95,MAERSK(NEOASAS) | ZIM(ASE),青岛(QINGDAO)[4天] → 上海(SHANGHAI)[3天] → 宁波(NINGBO)[4天] → 香港(HONG KONG)[1天] → 深圳盐田(YANTIAN)[28天] → 桑托斯(SANTOS)[2天] → 伊塔普亚(ITAPOA)[5天] → 布宜诺斯艾利斯(BUENOS AIRES),蒙得维的亚(MONTEVIDEO)[3天] → 伊塔普亚(ITAPOA)[2天] → 巴拉那瓜(PARANAGUA)[1天] → 桑托斯(SANTOS)[26天] → 新加坡(SINGAPORE)[5天] → 香港(HONG KONG)[4天] → 青岛(QINGDAO),3天
青岛,明日数航船期查询拉丁美洲南美东巴西桑托斯,5b7a60a1a7ae6739bdabfbb663b48757,MSC(CARIOCA),青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT)[2天] → 宁波(NINGBO)[2天] → 上海(SHANGHAI)[5天] → 深圳蛇口(SHEKOU)[6天] → 新加坡(SINGAPORE)[6天] → 维津贾姆港(VIZHINJAM)[20天] → 里约热内卢(RIO DE JANEIRO)[4天] → 桑托斯(SANTOS)[1天] → 巴拉那瓜(PARANAGUA)[3天] → 伊塔普亚(ITAPOA)[2天] → 伊塔雅伊(ITAJAI),布宜诺斯艾利斯(BUENOS AIRES)[3天] → 里奥格兰德(RIO GRANDE)[2天] → 伊塔雅伊(ITAJAI)[1天] → 纳维根特斯(NAVEGANTES)[3天] → 巴拉那瓜(PARANAGUA)[1天] → 桑托斯(SANTOS)[3天] → 里约热内卢(RIO DE JANEIRO)[10天] → 鲸湾港(WALVIS BAY)[17天] → 阿布扎比(ABU DHABI)[10天] → 新加坡(SINGAPORE)[11天] → 青岛(QINGDAO),4天
青岛,明日数航船期查询拉丁美洲南美东巴西桑托斯,520d816a2600aabc9a0ee131be5f8bb1,HMM(FIL),青岛(QINGDAO)[2天] → 釜山新港(BUSAN NEW PORT)[3天] → 上海(SHANGHAI)[1天] → 宁波(NINGBO)[3天] → 深圳蛇口(SHEKOU)[10天] → 卡图帕里(KATTUPALLI)[22天] → 桑托斯(SANTOS),里奥格兰德(RIO GRANDE)[5天] → 巴拉那瓜(PARANAGUA)[1天] → 纳维根特斯(NAVEGANTES)[27天] → 新加坡(SINGAPORE)[3天] → 香港(HONG KONG)[3天] → 青岛(QINGDAO),4天
青岛,明日数航船期查询拉丁美洲南美东巴西桑托斯,d04dfed14db3deb0be99e30ad546155a,MSC(SANTANA SERVICE),深圳盐田(YANTIAN)[3天] → 宁波(NINGBO)[1天] → 上海(SHANGHAI)[2天] → 青岛(QINGDAO)[5天] → 釜山新港(BUSAN NEW PORT)[23天] → 克里斯托瓦尔(CRISTOBAL)[7天] → 考赛多(CAUCEDO),培森(PECEM)[3天] → 苏阿普(SUAPE)[2天] → 萨尔瓦多(SALVADOR)[7天] → 桑托斯(SANTOS)[22天] → 汉班托塔(HAMBANTOTA)[13天] → 深圳盐田(YANTIAN),10天
青岛,明日数航船期查询拉丁美洲南美东巴西桑托斯,4d03a89ceaf1d5cd2275faf7aaeeb486,CMA(SEAS2) | COSCO(ESA2) | YML(SA5) | PIL(ES2) | OOCL(TLA2) | EMC(ESA3),天津(TIANJIN)[2天] → 青岛(QINGDAO)[3天] → 上海(SHANGHAI)[1天] → 宁波(NINGBO)[4天] → 深圳蛇口(SHEKOU)[4天] → 新加坡(SINGAPORE)[27天] → 里约热内卢(RIO DE JANEIRO)[2天] → 桑托斯(SANTOS)[3天] → 巴拉那瓜(PARANAGUA),伊塔普亚(ITAPOA)[2天] → 纳维根特斯(NAVEGANTES)[2天] → 桑托斯(SANTOS)[3天] → 里约热内卢(RIO DE JANEIRO)[21天] → 科伦坡(COLOMBO)[6天] → 新加坡(SINGAPORE)[5天] → 香港(HONG KONG)[5天] → 天津(TIANJIN),1天
青岛,明日数航船期查询北美洲加拿大加拿大温哥华,d5053f46bb1669eb59c283b1204b4032,ZIM(ZNP) | MSC(CHINOOK),盖梅港(CAI MEP)[3天] → 海防(HAIPHONG)[3天] → 深圳盐田(YANTIAN)[3天] → 宁波(NINGBO)[4天] → 上海(SHANGHAI)[2天] → 青岛(QINGDAO),釜山新港(BUSAN NEW PORT)[11天] → 西雅图(SEATTLE)[3天] → 温哥华(VANCOUVER)[9天] → 鲁珀特港(PRINCE RUPERT)[20天] → 釜山新港(BUSAN NEW PORT)[9天] → 盖梅港(CAI MEP),3天
青岛,明日数航船期查询北美洲加拿大加拿大温哥华,78b957c0e02615421f0b717ca14929f7,YML(PN3) | HMM(PN3) | ONE(PN3),青岛(QINGDAO)[3天] → 宁波(NINGBO)[2天] → 上海(SHANGHAI)[4天] → 釜山新港(BUSAN NEW PORT),温哥华(VANCOUVER)[6天] → 塔科马(TACOMA)[21天] → 青岛(QINGDAO),13天
青岛,明日数航船期查询非洲西非刚果黑角,d3921d1455a307ca37ffdfe105d82b45,CMA(WAX) | MAERSK(FEW3),青岛(QINGDAO)[3天] → 光阳(KWANGYANG)[2天] → 上海(SHANGHAI)[1天] → 宁波(NINGBO)[4天] → 深圳蛇口(SHEKOU)[2天] → 广州南沙(NANSHA)[6天] → 新加坡(SINGAPORE)[2天] → 丹戎帕拉帕斯(TANJUNG PELEPAS),特马(TEMA)[5天] → 拉各斯--莱基(LAGOS--LEKKI)[3天] → 阿比让(ABIDJAN)[8天] → 黑角(POINTE NOIRE)[19天] → 科伦坡(COLOMBO)[5天] → 新加坡(SINGAPORE)[9天] → 青岛(QINGDAO),22天
青岛,明日数航船期查询非洲西非刚果黑角,40c0cd42b1148f5cd7fd6b6d4ef0dca5,MAERSK(FEW5),,,
青岛,明日数航船期查询非洲西非刚果黑角,70f556b601a3fdb1599bb5255e29c955,CMA(ASAFGR) | COSCO(WAX4) | MAERSK(FEW6) | OOCL(WAF4) | HPL(AWA),青岛(QINGDAO)[3天] → 上海(SHANGHAI)[1天] → 宁波(NINGBO)[4天] → 广州南沙(NANSHA)[5天] → 丹戎帕拉帕斯(TANJUNG PELEPAS)[2天] → 新加坡(SINGAPORE),黑角(POINTE NOIRE)[4天] → 克里比(KRIBI)[6天] → 罗安达(LUANDA)[6天] → 鲸湾港(WALVIS BAY)[20天] → 新加坡(SINGAPORE)[9天] → 青岛(QINGDAO),24天
青岛,明日数航船期查询拉丁美洲南美西智利圣安东尼奥,f15aaf1496d9312c5061421a5e6f1712,WHL(AS2) | YML(SA8) | PIL(WS6),宁波(NINGBO)[2天] → 上海(SHANGHAI)[3天] → 青岛(QINGDAO)[2天] → 釜山新港(BUSAN NEW PORT)[16天] → 恩塞纳达(ENSENADA)[5天] → 墨西哥曼萨尼约(MANZANILLO),拉萨罗卡德纳斯(LAZARO CARDENAS)[4天] → 库特扎尔(PUERTO QUETZAL)[5天] → 布埃纳文图拉(BUENAVENTURA)[5天] → 卡亚俄(CALLAO)[5天] → 圣安东尼奥(SAN ANTONIO)[27天] → 宁波(NINGBO),3天
青岛,明日数航船期查询拉丁美洲南美西智利圣安东尼奥,f15655e6c7ff3c6aff16956ed715915e,WHL(WS3) | CMA(ACSA2) | COSCO(WSA3) | EMC(WSA3) | OOCL(TLP1),香港(HONG KONG)[1天] → 广州南沙(NANSHA)[1天] → 厦门(XIAMEN)[3天] → 青岛(QINGDAO)[3天] → 宁波(NINGBO)[2天] → 上海(SHANGHAI)[17天] → 墨西哥曼萨尼约(MANZANILLO)[8天] → 钱凯港(CHANCAY),圣安东尼奥(SAN ANTONIO)[11天] → 墨西哥曼萨尼约(MANZANILLO)[19天] → 上海(SHANGHAI)[2天] → 厦门(XIAMEN)[4天] → 海防(HAIPHONG)[2天] → 洋浦港(YANGPUGANG)[2天] → 香港(HONG KONG),9天
青岛,明日数航船期查询拉丁美洲南美西智利圣安东尼奥,a2798a94df9fcbc99bf84a74c87afff7,CMA(ACSA1),上海(SHANGHAI)[2天] → 宁波(NINGBO)[2天] → 青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT)[30天] → 圣安东尼奥(SAN ANTONIO),钱凯港(CHANCAY)[1天] → 卡亚俄(CALLAO)[4天] → 波索尔哈(POSORJA)[21天] → 横滨(YOKOHAMA)[5天] → 上海(SHANGHAI),9天
青岛,明日数航船期查询拉丁美洲南美西智利圣安东尼奥,da0d84750c1b4f4b43679312dee6c5d0,ZIM(ZAT),天津(TIANJIN)[2天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[4天] → 厦门(XIAMEN)[1天] → 深圳大铲湾(DA CHAN BAY),布埃纳文图拉(BUENAVENTURA)[3天] → 瓜亚基尔(GUAYAQUIL)[4天] → 卡亚俄(CALLAO)[5天] → 圣安东尼奥(SAN ANTONIO)[30天] → 天津(TIANJIN),24天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,a2798a94df9fcbc99bf84a74c87afff7,CMA(ACSA1),上海(SHANGHAI)[2天] → 宁波(NINGBO)[2天] → 青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT)[30天] → 圣安东尼奥(SAN ANTONIO),钱凯港(CHANCAY)[1天] → 卡亚俄(CALLAO)[4天] → 波索尔哈(POSORJA)[21天] → 横滨(YOKOHAMA)[5天] → 上海(SHANGHAI),9天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,YML(SA8) | WHL(AS2) | PIL(WS6),宁波(NINGBO)[2天] → 上海(SHANGHAI)[3天] → 青岛(QINGDAO)[2天] → 釜山新港(BUSAN NEW PORT)[16天] → 恩塞纳达(ENSENADA)[5天] → 墨西哥曼萨尼约(MANZANILLO),拉萨罗卡德纳斯(LAZARO CARDENAS)[4天] → 库特扎尔(PUERTO QUETZAL)[5天] → 布埃纳文图拉(BUENAVENTURA)[5天] → 卡亚俄(CALLAO)[5天] → 圣安东尼奥(SAN ANTONIO)[27天] → 宁波(NINGBO),3天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,da0d84750c1b4f4b43679312dee6c5d0,ZIM(ZAT),天津(TIANJIN)[2天] → 青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[4天] → 厦门(XIAMEN)[1天] → 深圳大铲湾(DA CHAN BAY),布埃纳文图拉(BUENAVENTURA)[3天] → 瓜亚基尔(GUAYAQUIL)[4天] → 卡亚俄(CALLAO)[5天] → 圣安东尼奥(SAN ANTONIO)[30天] → 天津(TIANJIN),24天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,HPL(TPM) | MSC(AZTEC) | ONE(AX3) | HMM(NW3),宁波(NINGBO)[2天] → 上海(SHANGHAI)[3天] → 青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT)[3天] → 横滨(YOKOHAMA)[13天] → 恩塞纳达(ENSENADA)[4天] → 墨西哥曼萨尼约(MANZANILLO)[4天] → 库特扎尔(PUERTO QUETZAL)[4天] → 布埃纳文图拉(BUENAVENTURA)[4天] → 卡亚俄(CALLAO),瓜亚基尔(GUAYAQUIL)[3天] → 布埃纳文图拉(BUENAVENTURA)[5天] → 罗德曼(RODMAN)[3天] → 拉萨罗卡德纳斯(LAZARO CARDENAS)[2天] → 墨西哥曼萨尼约(MANZANILLO)[4天] → 恩塞纳达(ENSENADA)[14天] → 横滨(YOKOHAMA)[4天] → 釜山新港(BUSAN NEW PORT)[6天] → 宁波(NINGBO),3天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,07bb71c374963d63e6e1a7624a38c14d,OOCL(TLP5) | COSCO(WSA5),大连(DALIAN)[3天] → 宁波(NINGBO)[1天] → 上海(SHANGHAI)[3天] → 青岛(QINGDAO)[16天] → 恩塞纳达(ENSENADA)[5天] → 墨西哥曼萨尼约(MANZANILLO),拉萨罗卡德纳斯(LAZARO CARDENAS)[7天] → 布埃纳文图拉(BUENAVENTURA)[2天] → 瓜亚基尔(GUAYAQUIL)[3天] → 钱凯港(CHANCAY)[25天] → 上海(SHANGHAI)[3天] → 大连(DALIAN),2天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),深圳蛇口(SHEKOU)[4天] → 宁波(NINGBO)[2天] → 上海(SHANGHAI)[5天] → 天津(TIANJIN)[3天] → 青岛(QINGDAO),釜山新港(BUSAN NEW PORT)[17天] → 墨西哥曼萨尼约(MANZANILLO)[4天] → 拉萨罗卡德纳斯(LAZARO CARDENAS)[6天] → 布埃纳文图拉(BUENAVENTURA)[33天] → 深圳蛇口(SHEKOU),3天
青岛,明日数航船期查询拉丁美洲中美洲多米尼加考赛多,c5b85087c069662ed7444f2fee063d02,CMA(PEX2) | COSCO(CAX1) | OOCL(TLC1),新加坡(SINGAPORE)[4天] → 深圳蛇口(SHEKOU)[1天] → 香港(HONG KONG)[4天] → 宁波(NINGBO)[1天] → 上海(SHANGHAI)[3天] → 青岛(QINGDAO)[3天] → 釜山新港(BUSAN NEW PORT),"巴尔博亚(BALBOA)[2天] → 巴拿马曼萨尼约(MANZANILLO)[2天] → 卡塔赫纳(CARTAGENA)[2天] → 金士顿(KINGSTON,JM)[4天] → 考赛多(CAUCEDO)[37天] → 新加坡(SINGAPORE)",28天
青岛,明日数航船期查询拉丁美洲中美洲多米尼加考赛多,d04dfed14db3deb0be99e30ad546155a,MSC(SANTANA SERVICE),深圳盐田(YANTIAN)[3天] → 宁波(NINGBO)[1天] → 上海(SHANGHAI)[2天] → 青岛(QINGDAO)[5天] → 釜山新港(BUSAN NEW PORT)[23天] → 克里斯托瓦尔(CRISTOBAL)[7天] → 考赛多(CAUCEDO),培森(PECEM)[3天] → 苏阿普(SUAPE)[2天] → 萨尔瓦多(SALVADOR)[7天] → 桑托斯(SANTOS)[22天] → 汉班托塔(HAMBANTOTA)[13天] → 深圳盐田(YANTIAN),10天
青岛,明日数航船期查询欧洲地西西班牙巴塞罗纳,0e6f60e699cd7fc14f30f042271552bc,MSC(JADE SERVICE),青岛(QINGDAO)[5天] → 釜山新港(BUSAN NEW PORT)[5天] → 宁波(NINGBO)[4天] → 上海(SHANGHAI)[4天] → 厦门(XIAMEN)[2天] → 深圳盐田(YANTIAN)[5天] → 新加坡(SINGAPORE),瓦伦西亚(VALENCIA)[3天] → 巴塞罗纳(BARCELONA)[6天] → 焦亚陶罗(GIOIA TAURO)[28天] → 新加坡(SINGAPORE)[8天] → 上海(SHANGHAI)[5天] → 青岛(QINGDAO),30天
